std_8_30,mi_task
0.6183329,rest
0.6678268,rest
0.5968277,rest
0.5260289,rest
0.6791871,left
0.7106078,left
0.5141629,left
0.7058661,left
0.7243008,right
0.6787799,right
0.6231062,right
0.596122,right
